u0	i0	4
u0	i2	4
u0	i5	4
u0	i43	5
u0	i46	5
u0	i89	5
u0	i97	4
u0	i124	5
u0	i130	5
u0	i136	5
u0	i184	5
u0	i190	3
u0	i197	5
u0	i224	5
u0	i275	3
u0	i291	5
u0	i307	4
u0	i320	5
u0	i325	4
u0	i367	3
u0	i398	5
u0	i436	3
u0	i461	5
u0	i476	4
u0	i484	4
u0	i485	5
u0	i508	4
u0	i509	4
u0	i510	4
u0	i513	5
u0	i546	3
u0	i551	5
u0	i592	4
u0	i594	3
u0	i632	4
u0	i701	5
u0	i723	4
u0	i734	5
u0	i767	3
u0	i781	5
u0	i783	5
u0	i786	5
u0	i787	3
u0	i788	5
u0	i789	5
u0	i797	4
u0	i801	5
u0	i810	4
u0	i820	5
u0	i831	5
u0	i836	5
u0	i856	4
u0	i863	5
u0	i898	5
u0	i907	5
u0	i909	4
u0	i911	5
u0	i914	5
u0	i915	4
u0	i920	2
u0	i923	5
u0	i925	5
u0	i927	5
u0	i939	5
u0	i955	5
u0	i957	3
u0	i964	4
u0	i969	5
u0	i974	5
u0	i977	5
u0	i981	5
u0	i990	5
u0	i996	5
u0	i1060	3
u0	i1076	3
u0	i1110	3
u0	i1126	4
u0	i1146	4
u0	i1154	5
u0	i1171	4
u0	i1181	5
u0	i1183	3
u0	i1190	5
u0	i1220	4
u0	i1224	5
u0	i1235	3
u0	i1261	3
u0	i1298	5
u0	i1319	4
u0	i1326	4
u0	i1332	5
u0	i1401	4
u0	i1407	5
u0	i1431	5
u0	i1444	4
u0	i1480	5
u0	i1487	4
u0	i1493	5
u0	i1503	4
u0	i1516	4
u0	i1517	5
u0	i1522	4
u0	i1526	5
u0	i1543	5
u0	i1553	5
u0	i1556	3
u0	i1559	4
u0	i1562	4
u0	i1567	4
u0	i1576	5
u0	i1577	5
u0	i1595	5
u0	i1597	5
u0	i1599	5
u0	i1617	5
u0	i1644	4
u0	i1674	2
u0	i1691	4
u0	i1704	5
u0	i1734	5
u0	i1755	5
u0	i1768	4
u0	i1788	5
u0	i1790	2
u0	i1796	5
u0	i1806	4
u0	i1814	3
u0	i1842	4
u0	i1858	5
u0	i1866	4
u0	i1883	5
u0	i1904	3
u0	i1917	5
u0	i1939	5
u0	i1946	5
u0	i1957	5
u0	i1971	4
u0	i1972	2
u0	i1979	4
u0	i1986	4
u0	i1997	3
u0	i2020	5
u0	i2028	5
u0	i2038	5
u0	i2077	5
u0	i2103	4
u0	i2126	4
u0	i2145	5
u0	i2157	5
u0	i2182	5
u0	i2193	4
u0	i2216	5
u0	i2219	5
u0	i2220	5
u0	i2226	5
u0	i2248	4
u0	i2250	5
u0	i2254	5
u0	i2256	5
u0	i2259	4
u0	i2302	5
u0	i2310	4
u0	i2372	5
u0	i2394	1
u0	i2431	3
u0	i2440	5
u0	i2460	5
u0	i2571	4
u0	i2572	4
u0	i2579	5
u0	i2581	5
u0	i2603	4
u0	i2608	4
u0	i2636	4
u0	i2674	5
u0	i2696	4
u0	i2713	4
